rank;finalWorth;personName;age;country;city;source;industries;countryOfCitizenship;organization;selfMade;gender;lastName;firstName;title;birthYear;birthMonth;cpi_country;gdp_country_trillions;gross_tertiary_education_enrollment;gross_primary_education_enrollment_country;life_expectancy_country;tax_revenue_country_country;total_tax_rate_country;population_country;latitude_country;longitude_country
1217;2500;Tomas Olivo Lopez;49;Spain;Marbella;Shopping centers;Real Estate;Spain;;TRUE;M;Olivo Lopez;Tomas;;1974;1;110,96;1.394116311Trillions;88,9;102,7;83,3;14,2;47;47076781;40,463667;-3,74922
1217;2500;Eren Ozmen;64;United States;Reno;Aerospace;Manufacturing;United States;;TRUE;F;Ozmen;Eren;;1958;9;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1217;2500;John Pritzker;69;United States;San Francisco;Hotels, investments;Finance & Investments;United States;;FALSE;M;Pritzker;John;;1953;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1217;2500;Qiu Minxiu;77;China;Shangyu;Semiconductors;Technology;China;;TRUE;F;Qiu;Minxiu;;1945;9;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
1217;2500;Ferit Faik Sahenk;59;Turkey;Istanbul;Diversified;Diversified;Turkey;;FALSE;M;Sahenk;Ferit Faik;;1964;3;234,44;.754411708Trillions;23,9;93,2;77,4;17,9;42,3;83429615;38,963745;35,243322
1217;2500;Wenrong Shen;77;China;Zhangjiagang;Steel production;Metals & Mining;China;;TRUE;M;Shen;Wenrong;;1946;2;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
1217;2500;Yuzhu Shi;60;China;Shanghai;Online games, investments;Diversified;China;;TRUE;M;Shi;Yuzhu;;1962;9;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
1217;2500;Jeff Sutton;63;United States;New York;Real estate;Real Estate;United States;;TRUE;M;Sutton;Jeff;;1960;1;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1217;2500;Henry Sy, Jr.;69;Philippines;Manila;Diversified;Diversified;Philippines;;FALSE;M;Sy;Henry;;1954;1;129,61;.376795509Trillions;35,5;107,5;71,1;14;43,1;108116615;12,879721;121,774017
1217;2500;Andrew Tan;71;Philippines;Manila;Diversified;Diversified;Philippines;;TRUE;M;Tan;Andrew;;1952;2;129,61;.376795509Trillions;35,5;107,5;71,1;14;43,1;108116615;12,879721;121,774017
