rank;finalWorth;personName;age;country;city;source;industries;countryOfCitizenship;organization;selfMade;gender;lastName;firstName;title;birthYear;birthMonth;cpi_country;gdp_country_trillions;gross_tertiary_education_enrollment;gross_primary_education_enrollment_country;life_expectancy_country;tax_revenue_country_country;total_tax_rate_country;population_country;latitude_country;longitude_country
1;211000;Bernard Arnault & family;74;France;Paris;LVMH;Fashion & Retail;France;LVMH Moët Hennessy Louis Vuitton;FALSE;M;Arnault;Bernard;Chairman and CEO;1949;3;110,05;2.715518274Trillions;65,6;102,5;82,5;24,2;60,7;67059887;46,227638;2,213749
2;180000;Elon Musk;51;United States;Austin;Tesla, SpaceX;Automotive;United States;Tesla;TRUE;M;Musk;Elon;CEO;1971;6;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
3;114000;Jeff Bezos;59;United States;Medina;Amazon;Technology;United States;Amazon;TRUE;M;Bezos;Jeff;Chairman and Founder;1964;1;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
4;107000;Larry Ellison;78;United States;Lanai;Oracle;Technology;United States;Oracle;TRUE;M;Ellison;Larry;CTO and Founder;1944;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
5;106000;Warren Buffett;92;United States;Omaha;Berkshire Hathaway;Finance & Investments;United States;Berkshire Hathaway Inc. (Cl A);TRUE;M;Buffett;Warren;CEO;1930;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
6;104000;Bill Gates;67;United States;Medina;Microsoft;Technology;United States;Bill & Melinda Gates Foundation;TRUE;M;Gates;Bill;Cochair;1955;10;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
7;94500;Michael Bloomberg;81;United States;New York;Bloomberg LP;Media & Entertainment;United States;Bloomberg;TRUE;M;Bloomberg;Michael;CEO;1942;2;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
8;93000;Carlos Slim Helu & family;83;Mexico;Mexico City;Telecom;Telecom;Mexico;América Móvil;TRUE;M;Slim Helu;Carlos;Honorary Chairman;1940;1;141,54;1.258286717Trillions;40,2;105,8;75;13,1;55,1;126014024;23,634501;-102,552784
9;83400;Mukesh Ambani;65;India;Mumbai;Diversified;Diversified;India;Reliance Industries;FALSE;M;Ambani;Mukesh;Founder and Chairman;1957;4;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
10;80700;Steve Ballmer;67;United States;Hunts Point;Microsoft;Technology;United States;Los Angeles Clippers;TRUE;M;Ballmer;Steve;Owner;1956;3;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
11;80500;Francoise Bettencourt Meyers & family;69;France;Paris;L'Oréal;Fashion & Retail;France;;FALSE;F;Bettencourt Meyers;Francoise;;1953;7;110,05;2.715518274Trillions;65,6;102,5;82,5;24,2;60,7;67059887;46,227638;2,213749
12;79200;Larry Page;50;United States;Palo Alto;Google;Technology;United States;Alphabet;TRUE;M;Page;Larry;Cofounder and board member;1973;3;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
13;77300;Amancio Ortega;87;Spain;La Coruna;Zara;Fashion & Retail;Spain;;TRUE;M;Ortega;Amancio;;1936;3;110,96;1.394116311Trillions;88,9;102,7;83,3;14,2;47;47076781;40,463667;-3,74922
14;76000;Sergey Brin;49;United States;Los Altos;Google;Technology;United States;Alphabet;TRUE;M;Brin;Sergey;Cofounder and board member;1973;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
15;68000;Zhong Shanshan;68;China;Hangzhou;Beverages, pharmaceuticals;Food & Beverage;China;;TRUE;M;Zhong;Shanshan;;1954;12;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
16;64400;Mark Zuckerberg;38;United States;Palo Alto;Facebook;Technology;United States;Meta Platforms;TRUE;M;Zuckerberg;Mark;Cofounder;1984;5;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
17;59000;Charles Koch & family;87;United States;Wichita;Koch Industries;Diversified;United States;Koch Industries, Inc.;FALSE;M;Koch;Charles;Chairman and CEO;1935;11;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
17;59000;Julia Koch & family;60;United States;New York;Koch Industries;Diversified;United States;;FALSE;F;Koch;Julia;;1962;4;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
19;58800;Jim Walton;74;United States;Bentonville;Walmart;Fashion & Retail;United States;Arvest Bank Group, Inc.;FALSE;M;Walton;Jim;Chairman and CEO;1948;6;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
20;57600;Rob Walton & family;78;United States;Bentonville;Walmart;Fashion & Retail;United States;Walmart;FALSE;M;Walton;Rob;Director;1944;10;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
21;56700;Alice Walton;73;United States;Fort Worth;Walmart;Fashion & Retail;United States;Crystal Bridges Museum of American Art;FALSE;F;Walton;Alice;Philanthropist;1949;10;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
22;54400;David Thomson & family;65;Canada;Toronto;Media;Media & Entertainment;Canada;Thomson Reuters Corporation;FALSE;M;Thomson;David;Chairman;1957;6;116,76;1.736425630Trillions;68,9;100,9;81,9;12,8;24,5;36991981;56,130366;-106,346771
23;50100;Michael Dell;58;United States;Austin;Dell Technologies;Technology;United States;Dell Inc.;TRUE;M;Dell;Michael;Chairman and CEO;1965;2;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
24;47200;Gautam Adani;60;India;Ahmedabad;Infrastructure, commodities;Diversified;India;;TRUE;M;Adani;Gautam;;1962;6;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
25;45100;Phil Knight & family;85;United States;Hillsboro;Nike;Fashion & Retail;United States;Nike;TRUE;M;Knight;Phil;Chairman;1938;2;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
26;45000;Zhang Yiming;39;China;Beijing;TikTok;Technology;China;ByteDance;TRUE;M;Zhang;Yiming;Founder;1984;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
27;42900;Dieter Schwarz;83;Germany;Neckarsulm;Retail;Fashion & Retail;Germany;;FALSE;M;Schwarz;Dieter;;1939;9;112,85;3.845630031Trillions;70,2;104;80,9;11,5;48,8;83132799;51,165691;10,451526
28;40100;François Pinault & family;86;France;Paris;Luxury goods;Fashion & Retail;France;;TRUE;M;Pinault;François;;1936;8;110,05;2.715518274Trillions;65,6;102,5;82,5;24,2;60,7;67059887;46,227638;2,213749
29;39100;Klaus-Michael Kuehne;85;Switzerland;Schindellegi;Shipping;Logistics;Germany;;FALSE;M;Kuehne;Klaus-Michael;;1937;6;99,55;.703082435Trillions;59,6;105,2;83,6;10,1;28,8;8574832;46,818188;8,227512
30;38900;Giovanni Ferrero;58;Belgium;Brussels;Nutella, chocolates;Food & Beverage;Italy;;FALSE;M;Ferrero;Giovanni;;1964;9;117,11;.529606710Trillions;79,7;103,9;81,6;24;55,4;11484055;50,503887;4,469936
31;38300;Jacqueline Mars;83;United States;The Plains;Candy, pet food;Food & Beverage;United States;;FALSE;F;Mars;Jacqueline;;1939;10;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
31;38300;John Mars;87;United States;Jackson;Candy, pet food;Food & Beverage;United States;;FALSE;M;Mars;John;;1935;10;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
33;38000;Li Ka-shing;94;Hong Kong;;Diversified;Diversified;Hong Kong;CK Hutchison Holdings;TRUE;M;Li;Ka-shing;Senior Advisor;1928;6;;;;;;;;;;
34;35300;Ma Huateng;51;China;Shenzhen;Internet media;Technology;China;Tencent Holdings;TRUE;M;Ma;Huateng;Chairman and CEO;1971;10;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
35;35000;Miriam Adelson & family;77;United States;Las Vegas;Casinos;Gambling & Casinos;United States;;FALSE;F;Adelson;Miriam;;1945;10;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
35;35000;Ken Griffin;54;United States;Miami;Hedge funds;Finance & Investments;United States;Citadel LLC;TRUE;M;Griffin;Ken;Founder & CEO;1968;10;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
37;34700;Mark Mateschitz;30;Austria;Salzburg;Red Bull;Food & Beverage;Austria;;FALSE;M;Mateschitz;Mark;;1992;5;118,06;.446314740Trillions;85,1;103,1;81,6;25,4;51,4;8877067;47,516231;14,550072
38;33400;Robin Zeng;54;China;Ningde;Batteries;Automotive;Hong Kong;;TRUE;M;Zeng;Robin;;1969;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
39;32600;Tadashi Yanai & family;74;Japan;Tokyo;Fashion retail;Fashion & Retail;Japan;;TRUE;M;Yanai;Tadashi;;1949;2;105,48;5.081769542Trillions;63,2;98,8;84,2;11,9;46,7;126226568;36,204824;138,252924
40;32100;Len Blavatnik;65;United Kingdom;London;Music, chemicals;Diversified;United States;;TRUE;M;Blavatnik;Len;;1957;6;119,62;2.827113185Trillions;60;101,2;81,3;25,5;30,6;66834405;55,378051;-3,435973
41;31600;Alain Wertheimer;74;United States;New York;Chanel;Fashion & Retail;France;;FALSE;M;Wertheimer;Alain;;1948;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
41;31600;Gerard Wertheimer;72;United States;New York;Chanel;Fashion & Retail;France;;FALSE;M;Wertheimer;Gerard;;1951;1;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
43;31200;Gianluigi Aponte;82;Switzerland;Geneva;Shipping;Logistics;Switzerland;;TRUE;M;Aponte;Gianluigi;;1940;6;99,55;.703082435Trillions;59,6;105,2;83,6;10,1;28,8;8574832;46,818188;8,227512
43;31200;Rafaela Aponte-Diamant;78;Switzerland;Geneva;Shipping;Logistics;Switzerland;;TRUE;F;Aponte-Diamant;Rafaela;;1945;3;99,55;.703082435Trillions;59,6;105,2;83,6;10,1;28,8;8574832;46,818188;8,227512
45;30200;Colin Zheng Huang;43;China;Shanghai;E-commerce;Technology;China;;TRUE;M;Huang;Colin Zheng;;1980;2;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
46;29700;Reinhold Wuerth & family;87;Germany;Kuenzelsau;Fasteners;Manufacturing;Germany;;TRUE;M;Wuerth;Reinhold;;1935;4;112,85;3.845630031Trillions;70,2;104;80,9;11,5;48,8;83132799;51,165691;10,451526
47;29500;Lee Shau Kee;95;Hong Kong;Hong Kong;Real estate;Real Estate;Hong Kong;;TRUE;M;Lee;Shau Kee;;1928;1;;;;;;;;;;
48;28500;Jeff Yass;64;United States;Haverford;Trading, investments;Finance & Investments;United States;;TRUE;M;Yass;Jeff;;1958;7;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
49;28100;Jim Simons;84;United States;East Setauket;Hedge funds;Finance & Investments;United States;Renaissance Technologies Corp.;TRUE;M;Simons;Jim;Founder;1938;4;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
50;27800;Stephen Schwarzman;76;United States;New York;Investments;Finance & Investments;United States;Blackstone Group;TRUE;M;Schwarzman;Stephen;Chairman and CEO;1947;2;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
51;27400;Susanne Klatten;60;Germany;Bad Homburg;BMW, pharmaceuticals;Automotive;Germany;;FALSE;F;Klatten;Susanne;;1962;4;112,85;3.845630031Trillions;70,2;104;80,9;11,5;48,8;83132799;51,165691;10,451526
52;27000;Gina Rinehart;69;Australia;Perth;Mining;Metals & Mining;Australia;Hancock Prospecting;FALSE;F;Rinehart;Gina;Executive Chairman;1954;2;119,8;1.392680589Trillions;113,1;100,3;82,7;23;47,4;25766605;-25,274398;133,775136
53;26700;William Ding;51;China;Hangzhou;Online games;Technology;China;;TRUE;M;Ding;William;;1971;10;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
54;26600;Germán Larrea Mota Velasco & family;69;Mexico;Mexico City;Mining;Metals & Mining;Mexico;;FALSE;M;Larrea Mota Velasco;Germán;;1953;10;141,54;1.258286717Trillions;40,2;105,8;75;13,1;55,1;126014024;23,634501;-102,552784
55;25600;Shiv Nadar;77;India;Delhi;software services;Technology;India;;TRUE;M;Nadar;Shiv;;1945;7;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
56;25500;Low Tuck Kwong;74;Indonesia;Jakarta;Coal;Energy;Indonesia;;TRUE;M;Low Tuck;Kwong;;1948;4;151,18;1.119190781Trillions;36,3;106,4;71,5;10,2;30,1;270203917;-0,789275;113,921327
57;25300;Thomas Peterffy;78;United States;Palm Beach;Discount brokerage;Finance & Investments;United States;;TRUE;M;Peterffy;Thomas;;1944;9;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
58;25200;Andrey Melnichenko & family;51;United Arab Emirates;Ras Al Khaimah;Fertilizers, coal;Metals & Mining;Russia;;TRUE;M;Melnichenko;Andrey;;1972;3;114,52;.421142268Trillions;36,8;108,4;77,8;0,1;15,9;9770529;23,424076;53,847818
59;24600;Stefan Quandt;56;Germany;Frankfurt;BMW;Automotive;Germany;;FALSE;M;Quandt;Stefan;;1966;5;112,85;3.845630031Trillions;70,2;104;80,9;11,5;48,8;83132799;51,165691;10,451526
60;24400;MacKenzie Scott;52;United States;Seattle;Amazon;Technology;United States;;FALSE;F;Scott;MacKenzie;Philanthropist;1970;4;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
61;24200;R. Budi Hartono;82;Indonesia;Kudus;Banking, tobacco;Finance & Investments;Indonesia;;FALSE;M;Hartono;R. Budi;;1941;1;151,18;1.119190781Trillions;36,3;106,4;71,5;10,2;30,1;270203917;-0,789275;113,921327
62;23700;Vladimir Potanin;62;Russia;Moscow;Metals;Metals & Mining;Russia;;TRUE;M;Potanin;Vladimir;;1961;1;180,75;1.699876579Trillions;81,9;102,6;72,7;11,4;46,2;144373535;61,52401;105,318756
63;23500;Jack Ma;58;China;Hangzhou;E-commerce;Technology;China;;TRUE;M;Ma;Jack;;1964;9;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
64;23400;He Xiangjian & family;80;China;Foshan;Home appliances;Manufacturing;China;;TRUE;M;He;Xiangjian;;1942;8;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
65;23100;Iris Fontbona & family;80;Chile;Santiago;Mining;Metals & Mining;Chile;;FALSE;F;Fontbona;Iris;;1943;1;131,91;.282318160Trillions;88,5;101,4;80;18,2;34;18952038;-35,675147;-71,542969
65;23100;Michael Hartono;83;Indonesia;Kudus;Banking, tobacco;Manufacturing;Indonesia;;FALSE;M;Hartono;Michael;;1939;10;151,18;1.119190781Trillions;36,3;106,4;71,5;10,2;30,1;270203917;-0,789275;113,921327
67;22900;James Ratcliffe;70;United Kingdom;London;Chemicals;Manufacturing;United Kingdom;;TRUE;M;Ratcliffe;James;;1953;1;119,62;2.827113185Trillions;60;101,2;81,3;25,5;30,6;66834405;55,378051;-3,435973
68;22600;Cyrus Poonawalla;81;India;Pune;Vaccines;Healthcare;India;;FALSE;M;Poonawalla;Cyrus;;1941;5;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
69;22400;Masayoshi Son;65;Japan;Tokyo;Internet, telecom;Telecom;Japan;SoftBank Group Corp.;TRUE;M;Son;Masayoshi;CEO;1957;8;105,48;5.081769542Trillions;63,2;98,8;84,2;11,9;46,7;126226568;36,204824;138,252924
70;22100;Vladimir Lisin;66;Russia;Moscow;Steel, transport;Metals & Mining;Russia;;TRUE;M;Lisin;Vladimir;;1956;5;180,75;1.699876579Trillions;81,9;102,6;72,7;11,4;46,2;144373535;61,52401;105,318756
71;22000;Emmanuel Besnier;52;France;Laval;Cheese;Food & Beverage;France;;FALSE;M;Besnier;Emmanuel;;1970;9;110,05;2.715518274Trillions;65,6;102,5;82,5;24,2;60,7;67059887;46,227638;2,213749
72;21600;Abigail Johnson;61;United States;Milton;Fidelity;Finance & Investments;United States;Fidelity Investments;FALSE;F;Johnson;Abigail;CEO;1961;12;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
72;21600;Leonid Mikhelson & family;67;Russia;Moscow;Gas, chemicals;Energy;Russia;;TRUE;M;Mikhelson;Leonid;;1955;8;180,75;1.699876579Trillions;81,9;102,6;72,7;11,4;46,2;144373535;61,52401;105,318756
74;21200;Lukas Walton;36;United States;Chicago;Walmart;Fashion & Retail;United States;;FALSE;M;Walton;Lukas;;1986;9;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
74;21200;Wang Wei;52;China;Shenzhen;Package delivery;Service;China;;TRUE;M;Wang;Wei;;1970;10;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
76;21100;Jensen Huang;60;United States;Los Altos;Semiconductors;Technology;United States;Nvidia;TRUE;M;Huang;Jensen;CEO & President;1963;2;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
77;21000;Leonard Lauder;90;United States;New York;Estee Lauder;Fashion & Retail;United States;The Estée Lauder Companies;FALSE;M;Lauder;Leonard;Chairman Emeritus;1933;3;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
77;21000;Takemitsu Takizaki;77;Japan;Osaka;Sensors;Manufacturing;Japan;;TRUE;M;Takizaki;Takemitsu;;1945;6;105,48;5.081769542Trillions;63,2;98,8;84,2;11,9;46,7;126226568;36,204824;138,252924
79;20900;Alexey Mordashov & family;57;Russia;Moscow;Steel, investments;Metals & Mining;Russia;;TRUE;M;Mordashov;Alexey;;1965;9;180,75;1.699876579Trillions;81,9;102,6;72,7;11,4;46,2;144373535;61,52401;105,318756
80;20500;Vagit Alekperov;72;Russia;Moscow;Oil;Energy;Russia;;TRUE;M;Alekperov;Vagit;;1950;9;180,75;1.699876579Trillions;81,9;102,6;72,7;11,4;46,2;144373535;61,52401;105,318756
81;20200;Thomas Frist, Jr. & family;84;United States;Nashville;Hospitals;Healthcare;United States;;TRUE;M;Frist;Thomas;;1938;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
82;19600;Andrew Forrest;61;Australia;Perth;Mining;Metals & Mining;Australia;;TRUE;M;Forrest;Andrew;;1961;11;119,8;1.392680589Trillions;113,1;100,3;82,7;23;47,4;25766605;-25,274398;133,775136
83;19100;Ray Dalio;73;United States;Greenwich;Hedge funds;Finance & Investments;United States;Bridgewater Associates;TRUE;M;Dalio;Ray;Founder & Co-Chief Investment Officer;1949;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
84;19000;Eric Li;59;China;Hangzhou;Automobiles;Automotive;China;;TRUE;M;Li;Eric;;1963;6;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
84;19000;Wang Wenyin;55;China;Shenzhen;Mining, copper products;Metals & Mining;China;;TRUE;M;Wang;Wenyin;;1968;3;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
86;18900;Eyal Ofer;72;Monaco;Monte Carlo;Real estate, shipping;Diversified;Israel;;FALSE;M;Ofer;Eyal;;1950;6;;.007184844Trillions;;;;;;38964;43,7384176;7,4246158
86;18900;Qin Yinglin;57;China;Nanyang;Pig breeding;Food & Beverage;China;;TRUE;M;Qin;Yinglin;;1965;4;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
88;18700;Wang Chuanfu;57;China;Shenzhen;Batteries, automobiles;Automotive;China;;TRUE;M;Wang;Chuanfu;;1966;2;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
89;18500;Harold Hamm & family;77;United States;Oklahoma City;Oil & gas;Energy;United States;Continental Resources Inc. ;TRUE;M;Hamm;Harold;Chairman and CEO;1945;12;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
89;18500;David Tepper;65;United States;Palm Beach;Hedge funds;Finance & Investments;United States;Appaloosa Management;TRUE;M;Tepper;David;President and Founder;1957;9;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
89;18500;Gennady Timchenko;70;Russia;Moscow;Oil, gas;Energy;Russia;;TRUE;M;Timchenko;Gennady;;1952;11;180,75;1.699876579Trillions;81,9;102,6;72,7;11,4;46,2;144373535;61,52401;105,318756
92;18000;Daniel Gilbert;61;United States;Franklin;Quicken Loans;Finance & Investments;United States;;TRUE;M;Gilbert;Daniel;;1962;1;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
93;17700;Lakshmi Mittal;72;United Kingdom;London;Steel;Metals & Mining;India;ArcelorMittal (ADR);FALSE;M;Mittal;Lakshmi;Chairman and CEO;1950;6;119,62;2.827113185Trillions;60;101,2;81,3;25,5;30,6;66834405;55,378051;-3,435973
94;17500;Steve Cohen;66;United States;Greenwich;Hedge funds;Finance & Investments;United States;Point72 Asset Management;TRUE;M;Cohen;Steve;Founder;1956;6;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
94;17500;Carl Icahn;87;United States;Indian Creek;Investments;Finance & Investments;United States;Icahn Capital Management;TRUE;M;Icahn;Carl;Founder;1936;2;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
94;17500;Savitri Jindal & family;73;India;Hisar;Steel;Metals & Mining;India;;FALSE;F;Jindal;Savitri;;1950;3;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
97;17400;Donald Bren;90;United States;Newport Beach;Real estate;Real Estate;United States;Irvine Company;TRUE;M;Bren;Donald;Chairman;1932;5;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
97;17400;John Menard, Jr.;83;United States;Eau Claire;Home improvement stores;Fashion & Retail;United States;Menard, Inc.;TRUE;M;Menard;John;Founder;1940;1;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
99;17100;Rupert Murdoch & family;92;United States;New York;Newspapers, TV network;Media & Entertainment;United States;News Corp Class A;FALSE;M;Murdoch;Rupert;Chairman and CEO;1931;3;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
100;16700;Vicky Safra & family;70;Switzerland;Crans-Montana;Banking;Finance & Investments;Brazil;;FALSE;F;Safra;Vicky;;1953;1;99,55;.703082435Trillions;59,6;105,2;83,6;10,1;28,8;8574832;46,818188;8,227512
101;16500;Theo Albrecht, Jr. & family;72;Germany;Mulheim an der Ruhr;Aldi, Trader Joe's;Fashion & Retail;Germany;;FALSE;M;Albrecht;Theo;;1951;1;112,85;3.845630031Trillions;70,2;104;80,9;11,5;48,8;83132799;51,165691;10,451526
101;16500;Renata Kellnerova & family;55;Czech Republic;Prague;Finance, telecommunications;Finance & Investments;Czech Republic;;FALSE;F;Kellnerova;Renata;;1967;7;116,48;.246489245Trillions;64,1;100,7;79;14,9;46,1;10669709;49,817492;15,472962
103;16300;Li Xiting;72;China;Shenzhen;medical devices;Healthcare;Singapore;;TRUE;M;Li;Xiting;;1951;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
104;16200;Stefan Persson;75;Sweden;Stockholm;H&M;Fashion & Retail;Sweden;Hennes & Mauritz Unsponsored ADR;FALSE;M;Persson;Stefan;Chairman;1947;10;110,51;.530832909Trillions;67;126,6;82,5;27,9;49,1;10285453;60,128161;18,643501
104;16200;Eric Schmidt;67;United States;Atherton;Google;Technology;United States;;TRUE;M;Schmidt;Eric;;1955;4;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
106;16000;Michael Platt;55;Switzerland;Geneva;Hedge funds;Finance & Investments;United Kingdom;BlueCrest Capital Management;TRUE;M;Platt;Michael;Founder ;1968;3;99,55;.703082435Trillions;59,6;105,2;83,6;10,1;28,8;8574832;46,818188;8,227512
107;15900;Pang Kang;67;China;Foshan;Soy sauce;Food & Beverage;China;;TRUE;M;Pang;Kang;;1956;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
108;15800;Karl Albrecht Jr. & family;;Germany;;Supermarkets;Fashion & Retail;Germany;;FALSE;M;Albrecht Jr.;Karl;;;;112,85;3.845630031Trillions;70,2;104;80,9;11,5;48,8;83132799;51,165691;10,451526
108;15800;Beate Heister;;;;Supermarkets;Fashion & Retail;Germany;;FALSE;F;Heister;Beate;;;;;;;;;;;;;
108;15800;Jorge Paulo Lemann & family;83;Switzerland;Zurich;Beer;Food & Beverage;Brazil;;TRUE;M;Lemann;Jorge Paulo;Investor, Philanthropist;1939;8;99,55;.703082435Trillions;59,6;105,2;83,6;10,1;28,8;8574832;46,818188;8,227512
108;15800;Peter Woo;76;Hong Kong;Hong Kong;Real estate;Real Estate;Hong Kong;;FALSE;M;Woo;Peter;;1946;9;;;;;;;;;;
112;15600;Dilip Shanghvi;67;India;Mumbai;Pharmaceuticals;Healthcare;India;;TRUE;M;Shanghvi;Dilip;;1955;10;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
113;15500;Robert Pera;45;United States;San Jose;Wireless networking;Technology;United States;Ubiquiti;TRUE;M;Pera;Robert;Chief Executive Officer;1978;3;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
114;15300;Radhakishan Damani;68;India;Mumbai;Retail, investments;Fashion & Retail;India;;TRUE;M;Damani;Radhakishan;;1955;1;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
115;15200;Huang Shilin;56;China;Ningde;Batteries;Automotive;China;;TRUE;M;Huang;Shilin;;1967;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
116;14900;Dhanin Chearavanont;83;Thailand;Bangkok;Diversified;Diversified;Thailand;;FALSE;M;Chearavanont;Dhanin;;1939;4;113,27;.543649976Trillions;49,3;99,8;76,9;14,9;29,5;69625582;15,870032;100,992541
116;14900;David Green & family;81;United States;Oklahoma City;Retail;Fashion & Retail;United States;Hobby Lobby;TRUE;M;Green;David;CEO;1941;11;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
